GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cards,com.globallogic.cards.controller,CardsServiceController,26,85,0,0,9,21,1,6,1,6
cards,com.globallogic.cards.service.impl,CardsServiceImpl,0,152,0,16,0,37,0,13,0,5
cards,com.globallogic.cards.consumingwebservice,CardsConfiguration,0,27,0,0,0,9,0,3,0,3
cards,com.globallogic.cards.consumingwebservice,SoapCardsClient,0,26,0,0,0,5,0,2,0,2
cards,com.globallogic.cards,CardsApplication,14,7,0,0,5,2,1,2,1,2
cards,com.example.consumingwebservice.wsdl,Cards,5,9,1,1,1,3,1,2,0,2
cards,com.example.consumingwebservice.wsdl,Card,0,31,0,0,0,13,0,9,0,9
cards,com.example.consumingwebservice.wsdl,ObjectFactory,11,0,0,0,4,0,3,0,3,0
