GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
clients,com.globallogic.clients,ClientsApplication,14,7,0,0,5,2,1,2,1,2
clients,com.globallogic.clients.service.impl,ClientServiceImpl,14,3,0,0,3,1,3,1,3,1
clients,com.globallogic.clients.repository,ClientRepository,0,77,0,8,0,16,0,8,0,4
clients,com.globallogic.clients.controller,ClientServiceController,0,77,0,0,0,21,0,5,0,5
